SKYSCAN_1272 TEST RESULTS 	

Instrument SN: 15G09089-B
Control software version: 1.1.7
X-Ray Source: HAMAMATSU_L11871_20
Emission: 304 hours	
Voltage: 80kV,	 Current: 125uA	 CCD chip:20.4C
Date and Time: Aug 29, 2016  08:49:27

    test start

id	time	intensity	CCD chip
305	00h:35m:20s	46.7%	19.8C
306	00h:35m:27s	46.7%	19.8C
307	00h:35m:35s	46.7%	19.8C
308	00h:35m:42s	46.7%	19.8C
309	00h:35m:49s	46.7%	19.8C
310	00h:35m:55s	46.7%	19.8C
311	00h:36m:02s	46.7%	19.8C
312	00h:36m:09s	46.7%	19.8C
313	00h:36m:16s	46.7%	19.8C
314	00h:36m:23s	46.7%	19.8C
315	00h:36m:30s	46.7%	19.8C
316	00h:36m:37s	46.7%	19.8C
317	00h:36m:44s	46.7%	19.8C
318	00h:36m:52s	46.7%	19.8C
319	00h:36m:59s	46.7%	19.8C
320	00h:37m:06s	46.7%	19.8C
321	00h:37m:12s	46.7%	19.8C
322	00h:37m:19s	46.7%	19.8C
323	00h:37m:26s	46.7%	19.8C
324	00h:37m:33s	46.7%	19.8C
325	00h:37m:40s	46.7%	19.8C
326	00h:37m:47s	46.7%	19.8C
327	00h:37m:55s	46.7%	19.8C
328	00h:38m:02s	46.7%	19.8C
329	00h:38m:08s	46.7%	19.8C
330	00h:38m:15s	46.7%	19.8C
331	00h:38m:22s	46.7%	19.8C
332	00h:38m:29s	46.7%	19.8C
333	00h:38m:36s	46.7%	19.8C
334	00h:38m:43s	46.7%	19.8C
335	00h:38m:50s	46.7%	19.8C
336	00h:38m:57s	46.7%	19.8C
337	00h:39m:04s	46.7%	19.8C
338	00h:39m:12s	46.7%	19.8C
339	00h:39m:19s	46.7%	19.8C
340	00h:39m:26s	46.7%	19.8C
341	00h:39m:33s	46.7%	19.8C
342	00h:39m:40s	46.7%	19.8C
343	00h:39m:46s	46.7%	19.8C
344	00h:39m:53s	46.7%	19.8C
345	00h:40m:00s	46.7%	19.8C
346	00h:40m:07s	46.7%	19.8C
347	00h:40m:14s	46.7%	19.8C
348	00h:40m:22s	46.7%	19.8C
349	00h:40m:29s	46.7%	19.8C
350	00h:40m:36s	46.7%	19.8C
351	00h:40m:43s	46.7%	19.8C
352	00h:40m:50s	46.7%	19.8C
353	00h:40m:57s	46.7%	19.8C
354	00h:41m:04s	46.7%	19.8C
355	00h:41m:11s	46.7%	19.8C
356	00h:41m:18s	46.7%	19.8C
357	00h:41m:25s	46.7%	19.8C
358	00h:41m:32s	46.7%	19.8C
359	00h:41m:39s	46.7%	19.8C
360	00h:41m:46s	46.7%	19.8C
361	00h:41m:53s	46.7%	19.8C
362	00h:41m:59s	46.7%	19.8C
363	00h:42m:06s	46.7%	19.8C
364	00h:42m:13s	46.7%	19.8C
365	00h:42m:20s	46.7%	19.8C
366	00h:42m:27s	46.7%	19.8C
367	00h:42m:34s	46.7%	19.8C
368	00h:42m:42s	46.7%	19.8C
369	00h:42m:49s	46.7%	19.8C
370	00h:42m:56s	46.7%	19.8C
371	00h:43m:03s	46.7%	19.8C
372	00h:43m:10s	46.7%	19.8C
373	00h:43m:17s	46.7%	19.8C
374	00h:43m:24s	46.7%	19.8C
375	00h:43m:31s	46.7%	19.8C
376	00h:43m:38s	46.7%	19.8C
377	00h:43m:45s	46.7%	19.8C
378	00h:43m:53s	46.7%	19.8C
